"ID","Name","RA","DEC","Obj. Type","Redshift","Host Name","Host Redshift","Reporting Group/s","Discovery Data Source/s","Classifying Group/s","Associated Group/s","Disc. Internal Name","Disc. Instrument/s","Class. Instrument/s","TNS AT","Public","End Prop. Period","Discovery Mag/Flux","Discovery Filter","Discovery Date (UT)","Sender","Remarks","Ext. catalog/s"
"59241","AT 2020jbc","15:07:30.101","-08:55:53.85","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20csj","PS1 - GPC1","","1","1","","20.59","g-Sloan","2020-03-21 14:13:55.200","YSE_Bot1","",""
"59236","AT 2020jax","13:29:42.471","+31:59:13.45","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20csd","PS1 - GPC1","","1","1","","19.86","i-Sloan","2020-01-23 15:30:14.400","YSE_Bot1","",""
"59143","AT 2020ixi","13:07:23.084","+21:00:21.82","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20chs","PS1 - GPC1","","1","1","","19.56","z-Sloan","2020-01-19 14:31:12.000","YSE_Bot1","",""
"59129","AT 2020iwu","12:43:26.707","+02:18:51.32","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20chv","PS1 - GPC1","","1","1","","19.9","r-Sloan","2020-01-29 14:06:43.200","YSE_Bot1","",""
"59127","AT 2020iws","12:29:40.650","+12:06:50.36","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20chu","PS1 - GPC1","","1","1","","20.57","r-Sloan","2020-01-20 13:36:28.800","YSE_Bot1","",""
"59119","AT 2020iwk","15:57:07.589","+34:47:56.09","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cee","PS1 - GPC1","","1","1","","21.15","g-Sloan","2020-03-23 13:46:33.600","YSE_Bot1","",""
"59110","AT 2020iwb","15:54:46.261","+25:35:49.02","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cdf","PS1 - GPC1","","1","1","","20.55","i-Sloan","2020-03-10 14:35:31.200","YSE_Bot1","",""
"59102","AT 2020ivt","14:18:09.856","+42:15:51.34","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cev","PS1 - GPC1","","1","1","","21.15","r-Sloan","2020-01-20 15:40:19.200","YSE_Bot1","",""
"59101","AT 2020ivs","15:32:56.835","+10:10:50.34","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cew","PS1 - GPC1","","1","1","","20.83","g-Sloan","2020-03-24 14:44:09.600","YSE_Bot1","",""
"59100","AT 2020ivr","14:22:41.346","+38:40:17.73","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cet","PS1 - GPC1","","1","1","","20.16","r-Sloan","2020-01-25 14:57:07.200","YSE_Bot1","",""
"59096","AT 2020ivn","15:07:47.752","+09:35:55.88","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cfg","PS1 - GPC1","","1","1","","21.04","r-Sloan","2020-03-24 14:45:36.000","YSE_Bot1","",""
"59091","AT 2020ivi","15:06:15.985","+14:02:34.15","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cfm","PS1 - GPC1","","1","1","","20.79","g-Sloan","2020-03-24 14:41:16.800","YSE_Bot1","",""
"59085","AT 2020ivc","12:04:37.266","+16:26:06.12","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cdz","PS1 - GPC1","","1","1","","21.44","r-Sloan","2020-01-21 13:39:21.600","YSE_Bot1","",""
"59083","AT 2020iva","11:52:23.242","+18:15:22.10","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cdw","PS1 - GPC1","","1","1","","20.6","i-Sloan","2020-01-28 12:21:36.000","YSE_Bot1","",""
"59070","AT 2020iuo","12:19:12.932","+16:53:13.80","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cej","PS1 - GPC1","","1","1","","20.83","r-Sloan","2020-03-25 12:08:38.400","YSE_Bot1","",""
"59069","AT 2020iun","12:43:32.164","+09:20:11.76","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cek","PS1 - GPC1","","1","1","","20.55","g-Sloan","2020-01-20 13:39:21.600","YSE_Bot1","",""
"59066","AT 2020iuk","14:53:32.197","+41:26:30.97","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cat","PS1 - GPC1","","1","1","","19.82","r-Sloan","2020-03-21 12:53:16.800","YSE_Bot1","",""
"59064","AT 2020iui","14:22:24.724","+41:42:18.67","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cba","PS1 - GPC1","","1","1","","20.58","z-Sloan","2020-02-04 15:34:33.600","YSE_Bot1","",""
"59061","AT 2020iuf","13:08:33.156","+05:05:42.37","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20caz","PS1 - GPC1","","1","1","","19.75","i-Sloan","2020-01-26 14:21:07.200","YSE_Bot1","",""
"59052","AT 2020itw","13:00:24.236","+03:23:41.37","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20cay","PS1 - GPC1","","1","1","","19.91","i-Sloan","2020-01-19 14:36:57.600","YSE_Bot1","",""
"59050","AT 2020itu","15:57:27.859","+36:19:26.44","","","","","YSE","Pan-STARRS1","","Pan-STARRS1","PS20caw","PS1 - GPC1","","1","1","","20.29","g-Sloan","2020-03-23 13:46:33.600","YSE_Bot1","",""
