,ObjectID,FIRST_ROUND,XWIN_WORLD,YWIN_WORLD,LAST_ROUND,NALT,MAXSCORE
176,A202302111054587m073025,3,163.74489587036774,-7.507055889386788,4,4,0.977
177,A202302141057099m051128,4,164.2913491355111,-5.191160914278208,4,3,0.903
178,A202302141110515m061237,4,167.71465248650048,-6.210534378300348,4,2,0.86
179,A202302141058315m064558,4,164.63143449464346,-6.7661737620785525,4,4,0.8059999999999999
180,A202302141118565m064448,4,169.7356239993603,-6.746899358385495,4,2,0.83
181,A202302111047100m052043,3,161.79174889815835,-5.345390871576123,4,4,0.923
182,A202302141040177m053614,4,160.0740409310057,-5.6040658216236325,4,2,0.878
183,A202302141053583m073717,4,163.49331140081938,-7.621389041089328,4,3,0.96
184,A202302141105291m065349,4,166.37143523579553,-6.89717129303876,4,2,0.95
185,A202302141056517m074935,4,164.21557893368112,-7.826526185287291,4,2,0.7659999999999999
186,A202302141103260m075127,4,165.85860846470248,-7.857680326310785,4,3,0.936
187,A202302141103218m071534,4,165.84100631527556,-7.259686666384566,4,3,0.945
188,A202302141038595m072552,4,159.74799972934304,-7.431340942907312,4,2,0.792
189,A202302141050354m062531,4,162.64782101743282,-6.425467755146821,4,2,0.792
190,A202302141104446m052329,4,166.18587723669305,-5.391484002722986,4,3,0.959
191,T202302141045240m055942,4,161.35023153059151,-5.9950786965074645,4,3,0.8909999999999999
192,A202302141058408m080138,4,164.67000944584134,-8.027343955194812,4,2,0.777
193,A202302111103454m073341,3,165.93944553607386,-7.561586433602373,4,2,0.861
194,A202302141054478m075146,4,163.69924921326142,-7.862896413701912,5,2,0.8190000000000001
195,A202302171237059p070454,5,189.27468101406853,7.081911980627912,5,2,0.754
196,A202302171044130m061717,5,161.0544199396787,-6.288254107702263,5,2,0.8740000000000001
197,A202302141051145m072347,4,162.8106694319401,-7.396425620198825,5,3,0.736
198,T202302111055582m061925,3,163.9928864476536,-6.3237278715304654,5,6,0.8320000000000001
199,A202302171054547m051824,5,163.72808989756632,-5.306824973476688,5,2,0.873
200,A202302141053156m070431,4,163.31521723281298,-7.075444519060262,5,3,0.7959999999999999
201,A202302141038509m065853,4,159.7122773264578,-6.981622733055483,5,4,0.923
202,A202302171307581p053355,5,196.9924279298402,5.565325400194687,5,3,0.918
203,A202302141052263m081609,4,163.109973503972,-8.26916710332279,5,2,0.916
204,A202302171255309p073050,5,193.87879204405223,7.5140777327773,5,2,0.7390000000000001
