objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host
C202308020228456m050232,02:28:45.584 -05:02:32.187,37.18993734415226,-5.042274193112354,37.18993388942361,-5.042204079398925,32,2023-08-02T07:46:28.972,21.304159922706404,i,2023-10-15T06:12:25.858,20.82461104319408,i,2023-11-11T05:20:12.956,21.363098135200442,i,0372m050_6106,37.19010990266993,-5.042258995330269,19.61110293865204,18.225085139274597,17.325459122657776,None,None
C202308030220245m053047,02:20:24.457 -05:30:47.470,35.10190729568292,-5.513186166629308,35.1018909398595,-5.513175437325418,32,2023-08-03T07:17:52.816,21.24556791668433,r,2023-08-13T09:11:23.546,20.743271765701095,r,2023-09-27T05:48:21.384,21.758068513034885,i,0350m055_9512,35.10201537450762,-5.513293557772392,19.98122364282608,19.231190383434296,18.658632040023804,None,None
C202308020222140m052931,02:22:14.024 -05:29:31.416,35.55843693958852,-5.492060021273642,35.55839130939673,-5.492045865085649,32,2023-08-02T07:35:30.088,21.227633377753108,i,2023-09-27T05:59:18.160,20.813332642654572,i,2023-11-11T05:09:18.073,21.239843521318875,i,0355m055_6859,35.55847770892964,-5.492149162970157,19.321578443050385,18.380874693393707,17.74458944797516,None,None
C202308020224150m064806,02:24:15.014 -06:48:06.339,36.06255911972914,-6.801761102898863,36.06253490443102,-6.801756990185809,29,2023-08-02T07:35:30.088,21.226887346617517,i,2023-08-04T08:26:44.440,21.08551365626508,r,2023-10-12T05:59:04.699,23.23177858017592,i,0360m067_5609,36.06269406164961,-6.801769634259129,21.21598869562149,20.437002032995224,19.94245857000351,nan,nan
C202308030224258m034508,02:24:25.805 -03:45:08.318,36.10752309661797,-3.752310641628174,36.10760521902984,-3.752292287364412,28,2023-08-03T07:41:21.318,22.1332060762462,r,2023-08-13T09:28:01.900,21.18514859633282,g,2023-09-24T06:55:24.066,22.490051442225706,i,0361m037_3732,36.10745909230191,-3.752041712708437,20.92178449034691,20.31226634979248,19.939483404159546,nan,nan
T202308020225216m061301,02:25:21.628 -06:13:01.425,36.34011857791736,-6.21706266435613,36.34013364088811,-6.217051400167598,29,2023-08-02T07:35:30.088,20.21353077295388,i,2023-08-02T07:37:29.482,20.177479922577298,i,2023-10-12T05:59:04.699,21.608473327576952,i,0363m062_7780,36.34035222971666,-6.218159537965493,15.485571026802063,14.660155177116394,14.035886526107788,None,None
C202308020218561m062647,02:18:56.073 -06:26:46.989,34.73363756559349,-6.446386047224052,34.73365059162033,-6.446369612043128,29,2023-08-02T07:35:30.088,20.317216881570968,i,2023-08-28T07:50:12.805,19.92646010610553,i,2023-11-11T05:09:18.073,20.382137483280857,i,0348m065_1519,34.73376507112668,-6.446489448531868,20.18327698111534,18.81404221057892,17.72664725780487,None,None
C202308020220249m061732,02:20:24.876 -06:17:31.980,35.10365013068571,-6.292216852438219,35.10368956159493,-6.292051709630168,27,2023-08-02T07:32:12.707,20.803627316781984,r,2023-11-08T05:26:55.779,20.101962736053697,r,2023-11-11T05:05:40.312,20.303673360468505,r,0350m062_7946,35.10384611888676,-6.292128150806312,17.731494307518005,17.33684539794922,16.951857805252075,None,None
T202308130216226m052920,02:16:22.627 -05:29:19.907,34.09428182653252,-5.488863274277542,34.09432132959304,-5.488912361032096,28,2023-08-13T09:15:04.174,22.23169440729435,i,2023-08-28T07:35:36.593,21.228688432696167,r,2023-11-08T05:19:20.280,23.122971352950863,i,0340m055_9404,34.09441706919937,-5.489121783514091,20.057328045368195,19.006276726722717,18.315409719944,None,None
C202308020223107m062233,02:23:10.745 -06:22:33.313,35.79477365554492,-6.375920401647264,35.79484864917256,-6.375956653848494,28,2023-08-02T07:35:30.088,21.165507033393116,i,2023-08-03T07:32:06.767,20.9333109051325,i,2023-10-26T04:34:50.542,22.263142094088387,i,0358m062_5327,35.7949529414901,-6.376038356831145,19.090189337730408,17.920981347560883,17.182121872901917,None,None
C202309240223177m043759,02:23:17.671 -04:37:58.727,35.82363270231256,-4.632979923381912,35.82366258127705,-4.632952920963118,27,2023-09-24T06:46:15.309,22.46310834452248,g,2023-10-06T06:56:48.805,21.547247467315593,r,2023-11-08T05:43:07.136,22.414002240055197,i,0357m047_15271,35.82379984180467,-4.633008039070286,22.12672408670187,21.33679211139679,20.89922785758972,nan,nan
C202309240225149m044923,02:25:14.862 -04:49:23.108,36.31192538188099,-4.823085797737546,36.31192538188099,-4.823085797737546,25,2023-09-24T06:46:15.309,21.342327342322676,g,2023-09-24T06:46:15.309,21.342327342322676,g,2023-11-08T05:37:50.402,22.849514833254624,r,0362m047_15418,36.31203072509712,-4.823094366809383,20.465185344219208,20.082218796014786,19.88704562187195,None,None
T202308020224376m041008,02:24:37.610 -04:10:08.151,36.15671125879933,-4.168931084624925,36.1566453446785,-4.168975151002424,24,2023-08-02T07:43:09.811,21.076979870334295,r,2023-08-02T07:43:09.811,21.076979870334295,r,2023-08-31T05:56:23.890,22.073640547632447,i,0361m042_6736,36.15419177720588,-4.167484629025143,18.525758981704712,17.584407925605774,16.980807185173035,nan,nan
C202309240219526m064140,02:19:52.600 -06:41:40.236,34.96916726569626,-6.694510266665231,34.96899379579095,-6.694458791016597,18,2023-09-24T06:35:13.744,22.124903642749082,g,2023-10-04T06:44:26.461,21.5423620526711,i,2023-10-26T04:32:51.343,22.329028259898998,i,0350m067_1373,34.96905620360504,-6.694591122013647,21.003316789865494,19.849322736263275,19.02121275663376,None,None
T202309240225234m042854,02:25:23.398 -04:28:54.306,36.34749218501478,-4.481751752226102,36.3474765892397,-4.481771569755228,16,2023-09-24T06:46:15.309,21.798522597123565,g,2023-10-04T06:57:22.769,21.299847752889235,i,2023-10-15T06:14:24.713,21.663912246452398,i,0362m045_14312,36.34724110844642,-4.482152947978875,21.210369765758514,19.735578894615173,18.86193335056305,None,None
