objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host
C202308030227099m043732,02:27:09.851 -04:37:31.604,36.79104666930093,-4.625445808737692,36.79096583058377,-4.62545345521751,57,2023-08-03T07:39:41.471,22.51771517616958,r,2023-08-31T05:54:26.611,21.51869837701471,i,2023-12-14T02:57:04.877,22.86694914150055,g,0367m045_12231,36.79103265593971,-4.625584926039296,20.729704350233078,19.276581704616547,18.459658324718475,None,None
C202309240226060m051019,02:26:05.982 -05:10:19.423,36.52492829065047,-5.172062055439884,36.52496543320766,-5.172073348574197,67,2023-09-24T06:46:15.309,19.242478471532976,g,2023-09-24T06:49:55.581,19.209967866446682,r,2023-12-14T02:55:12.078,21.970186904082226,g,0364m052_12301,36.52507456874459,-5.172305221887107,18.808802366256714,18.14446657896042,17.65858232975006,None,None
T202308020215511m040845,02:15:51.125 -04:08:44.668,33.96302361018866,-4.145741178979462,33.96307406216557,-4.145703746710844,59,2023-08-02T07:17:40.461,20.07835486743173,g,2023-08-04T08:12:07.171,19.635164164434777,g,2023-11-17T04:48:57.338,22.900038482285478,i,0339m042_7866,33.96262738759784,-4.145403501415739,19.09088134765625,18.085770905017853,17.426989674568176,0.056818,nan
C202311080223437m062953,02:23:43.684 -06:29:52.706,35.93201904701566,-6.497973957889204,35.93210116586427,-6.498119905568272,9,2023-11-08T05:28:34.367,22.93042758735961,r,2023-11-14T05:09:25.794,22.4195103692917,r,2023-12-11T02:43:10.892,23.014681636849232,r,0358m065_11250,35.93209064665318,-6.498093381346941,21.895121671259403,20.92239871621132,20.00871330499649,nan,nan
T202309240227458m044005,02:27:45.778 -04:40:04.938,36.94074413001676,-4.668038441718871,36.94074413001676,-4.668038441718871,5,2023-09-24T06:49:55.581,22.247443051918165,r,2023-09-27T06:10:14.590,22.14240671888993,i,2023-09-27T06:10:14.590,22.14240671888993,i,0369m047_6734,36.9405359871284,-4.668543060133773,21.723177805542946,20.763312876224518,20.369247645139694,nan,nan
A202308020219305m055643,02:19:30.488 -05:56:42.897,34.87703629899705,-5.945249222906399,34.87707256229103,-5.945260869298947,69,2023-08-02T07:28:33.358,20.150236762532003,g,2023-09-24T06:35:13.744,19.55896899236505,g,2023-12-14T02:45:45.738,19.792715132620202,g,0347m060_10431,34.8771115321091,-5.945293791243585,18.620261251926422,18.270610868930817,17.87558287382126,None,None
T202308020224327m063843,02:24:32.696 -06:38:42.569,36.13623581356617,-6.645158326888509,36.13633257137796,-6.645073005614926,44,2023-08-02T07:35:30.088,21.40901960260169,i,2023-08-04T08:30:03.258,21.265515053651963,i,2023-12-11T02:46:52.364,22.822145155587837,i,0360m067_9272,36.13621780561117,-6.644439138354253,20.96105456352234,20.489280223846436,20.252225697040558,nan,nan
C202309240223177m043759,02:23:17.671 -04:37:58.727,35.82363270231256,-4.632979923381912,35.82366258127705,-4.632952920963118,31,2023-09-24T06:46:15.309,22.46310834452248,g,2023-10-06T06:56:48.805,21.547247467315593,r,2023-12-11T02:54:20.372,23.81648266351185,r,0357m047_15271,35.82379984180467,-4.633008039070286,22.12672408670187,21.33679211139679,20.89922785758972,nan,nan
C202308020220249m061732,02:20:24.876 -06:17:31.980,35.10365013068571,-6.292216852438219,35.10368956159493,-6.292051709630168,35,2023-08-02T07:32:12.707,20.803627316781984,r,2023-11-08T05:26:55.779,20.101962736053697,r,2023-12-11T02:43:10.892,20.551089803389967,r,0350m062_7946,35.10384611888676,-6.292128150806312,17.731494307518005,17.33684539794922,16.951857805252075,None,None
C202308030220245m053047,02:20:24.457 -05:30:47.470,35.10190729568292,-5.513186166629308,35.1018909398595,-5.513175437325418,32,2023-08-03T07:17:52.816,21.24556791668433,r,2023-08-13T09:11:23.546,20.743271765701095,r,2023-09-27T05:48:21.384,21.758068513034885,i,0350m055_9512,35.10201537450762,-5.513293557772392,19.98122364282608,19.231190383434296,18.658632040023804,None,None
C202308020228456m050232,02:28:45.584 -05:02:32.187,37.18993734415226,-5.042274193112354,37.18997575968545,-5.042191964403032,37,2023-08-02T07:46:28.972,21.355981669561622,i,2023-10-15T06:12:25.858,20.861933042698503,i,2023-12-02T05:15:39.657,21.207203667900565,i,0372m050_6106,37.19010990266993,-5.042258995330269,19.61110293865204,18.225085139274597,17.325459122657776,None,None
T202308020225068m041801,02:25:06.840 -04:18:01.387,36.27850219238117,-4.300385361339903,36.27848039897331,-4.300385813133996,36,2023-08-02T07:46:28.972,21.35643417438611,i,2023-08-03T07:39:41.471,21.071318887963844,r,2023-12-11T02:48:54.156,23.42970377059178,g,0361m042_15676,36.27753374838539,-4.299871493581594,24.21269714832306,23.045679442584515,21.368616297841072,nan,nan
C202308020222140m052931,02:22:14.024 -05:29:31.416,35.55843693958852,-5.492060021273642,35.55839130939673,-5.492045865085649,40,2023-08-02T07:35:30.088,21.227633377753108,i,2023-12-02T05:04:32.878,20.734701791195693,i,2023-12-11T02:46:52.364,21.314512056149034,i,0355m055_6859,35.55847770892964,-5.492149162970157,19.321578443050385,18.380874693393707,17.74458944797516,None,None
A202308130218472m051453,02:18:47.157 -05:14:52.599,34.6964885236501,-5.247944383756626,34.69649812164671,-5.247977421392788,39,2023-08-13T09:06:04.544,21.682799990169748,g,2023-08-25T06:40:37.023,20.752410016238606,r,2023-11-17T04:45:38.391,22.63746712731664,r,0347m052_5231,34.69657671971622,-5.247954406226642,21.29327490925789,20.744105130434036,20.405341386795044,nan,nan
T202308020225216m061301,02:25:21.628 -06:13:01.425,36.34011857791736,-6.21706266435613,36.34013364088811,-6.217051400167598,30,2023-08-02T07:35:30.088,20.21353077295388,i,2023-08-02T07:37:29.482,20.177479922577298,i,2023-11-17T04:56:36.157,22.191323124922977,r,0363m062_7780,36.34035222971666,-6.218159537965493,15.485571026802063,14.660155177116394,14.035886526107788,None,None
