OBJID,RA_OBJ,DEC_OBJ
A202308250220138m054658,35.057607450151714,-5.782776263254314
A202308250220260m054621,35.108220622470114,-5.772589455654382
A202308250220376m063638,35.15655712858652,-6.6106086317214485
A202308250220394m063620,35.164329836520885,-6.6054913393551
A202308250220475m045713,35.198025078296766,-4.953528681626376
A202308250220484m053918,35.2015644485426,-5.655099974679969
A202308250221213m043716,35.338898433669485,-4.621187948780723
A202308250221227m052746,35.34474985037054,-5.462879019593131
A202308250222093m041354,35.53859102486608,-4.231749308236958
A202308250222215m064549,35.58969766696933,-6.763677760769289
A202308250223002m042345,35.75063010169476,-4.395730316195742
A202308250223380m045401,35.9085226474812,-4.900286444074351
A202308250223492m045459,35.95488034489107,-4.9163110509176144
A202308250223567m052057,35.986163727314484,-5.34929404849633
A202308250224050m044646,36.02071550537476,-4.779576399618087
A202308250224081m045435,36.03387634798787,-4.9097173358951105
A202308250224235m063754,36.09786004636276,-6.6316506150554035
A202308250224448m051852,36.18647578084264,-5.314461621949226
A202308250224456m045044,36.189844138788914,-4.845502371370674
A202308250224560m061958,36.23350307990711,-6.332670807996712
A202308250225179m064842,36.324459844451525,-6.811752748591249
A202308250225356m035543,36.398269900201264,-3.9286345459927055
A202308250225400m042822,36.41653355528186,-4.472797858381973
A202308250225416m040453,36.423481150419065,-4.081338505381667
A202308250226372m062533,36.65499119757039,-6.425778983792989
A202308250226375m041234,36.656075479586015,-4.209344642357231
A202308250226574m040749,36.739282261865036,-4.130155938393055
A202308250226584m050425,36.74350640322096,-5.073496532557618
A202308250227228m034204,36.844813214733186,-3.7010189393723003
A202308250227357m043741,36.89860643045338,-4.627970361328756
A202308250227573m051721,36.988737253110315,-5.2892748373766905
A202308250228134m045739,37.055820428655835,-4.960929876199494
A202308250229321m044025,37.3836529122922,-4.673565796756773
A202308250327201m282403,51.833951154542966,-28.400770416781484
A202308250327596m272356,51.9984946516277,-27.39901972559889
A202308250329069m280514,52.2789483922366,-28.087193398033875
A202308250329108m272837,52.295125476391306,-27.47682249621673
A202308250329486m281229,52.452661338721285,-28.207976099837015
A202308250331506m290005,52.96080514169273,-29.001283506693415
