sn name,host_source,host_name,host_id,host_ra,host_dec,type,rexp,rexp_ivar,rdev,rdev_ivar,z,z_sep,ang_sep (deg),ang_sep (kpsec),ang_sep (radii),ang_sep_sigma (radii),upper_ang_sep (radii),a,ratiob2a,pa,dm,m21,source,dm_kin,btc,hemisphere,program
09ab,dr8_galaxy,N/A,123471287,140.565583706224,45.7479369207712,EXP,1.35438013076782,1361.57434082031,0.0,0.0,0.213689386844635,0.03868938684463502,0.00011751722066122102,1.255214840275126,0.3123657714474554,0.006250319031940608,0.31861609047939604,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
09bi,dr8_galaxy,N/A,859489262,176.709757997,11.799133378907,EXP,4.22492551803589,7460.517578125,0.0,0.0,0.088673360645771,0.021326639354229,0.0008532633640134517,6.160840447290225,0.7270537900219458,0.001992337946075702,0.7290461279680215,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
09bj,dr8_galaxy,N/A,301078856,169.527022208962,12.8950866333728,EXP,1.67536413669586,97840.8203125,0.0,0.0,0.156693920493126,0.01269392049312601,0.00045354992265856606,4.12553256525433,0.9745819943304941,0.0018597266998014717,0.9764417210302956,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
09c,local_universe,PGC40133,597256.0,185.6949,65.84376,1.1000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.0356327,0.74131,137.5,-99.0,-99.0,clu.v2,33.18,12.94,north,PTF-iPTF
09ct,dr8_galaxy,N/A,857350650,175.557692326874,10.6482921033108,DEV,0.0,0.0,0.845082461833954,393099.84375,0.192756578326225,0.04275657832622501,0.00018819851604803201,1.7713012646698039,0.8017142567396419,0.0015131050552813167,0.8032273617949233,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
09cu,dr8_galaxy,N/A,303417375,198.849588359627,46.4203821428514,COMP,5.80286502838135,36383.28515625,1.8759982585907,77777.421875,0.0517703779041767,0.0082296220958233,0.0025686167161442916,10.719388157497919,1.5935266687908491,0.0014396798019761777,1.5949663485928254,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
09e,dr8_galaxy,N/A,31597350,138.642327578867,51.1750747002404,EXP,1.95832598209381,1276.70373535156,0.0,0.0,0.125118687748909,0.023881312251090997,0.00042388980240330737,3.967419152197209,0.7792386469898791,0.01113628746801795,0.7903749344578971,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
09f,dr8_galaxy,N/A,857168567,175.475055625506,10.4302252413942,DEV,0.0,0.0,2.54111671447754,162575.3125,0.158623829483986,0.005623829483986015,0.0007370514700206045,7.052194870700421,1.0441808032496136,0.0010191164061552297,1.0451999196557689,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,south,PTF-iPTF
09g,dr8_galaxy,N/A,65300559,229.1308771112,54.4586218022761,DEV,0.0,0.0,10.3040208816528,14206.8203125,0.033446691930294,0.006553308069705999,0.0010199047187216391,2.905543382921818,0.3563324482324763,0.0002901350503716014,0.3566225832828479,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
09k,dr8_galaxy,N/A,19222403,186.576381505228,48.4453067012119,REX,1.78764700889587,33539.04296875,0.0,0.0,0.173391371965408,0.013608628034592007,0.002236775992581881,25.19648327532012,4.504465105931784,0.013758976454379863,4.518224082386164,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,north,PTF-iPTF
