tns_name,objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host,z_type.pseudo_host,z_source.pseudo_host
AT2022acdz,A202210060220313m055234,02:20:31.390 -05:52:34.028,35.13079302149654,-5.87611901071893,35.13074713096037,-5.876145743220079,77,2022-10-06T05:20:01.927,22.26710678563752,r,2022-12-28T01:36:07.233,21.508252039067802,g,2022-12-28T01:44:58.195,21.66353726292572,i,0350m060_9395,35.13075444534794,-5.876137591400314,20.396725088357925,20.328826308250427,19.951919317245483,nan,nan,NONE,NONE
AT2022acea,C202210020224453m035509,02:24:45.366 -03:55:09.090,36.18902880232308,-3.919191754828856,36.18900580459172,-3.919226689663495,75,2022-10-02T06:32:35.895,22.40087336658373,g,2022-11-10T03:50:15.842,21.02763289655841,g,2022-12-28T01:55:47.197,22.990463095559676,i,0361m040_5065,36.18893489544626,-3.919313275925011,19.123632311820984,19.0098437666893,18.909752666950226,0.6063500046730042,nan,spec,GAMA-DR3
AT2022aceb,C202210290228461m043839,02:28:46.188 -04:38:39.348,37.19245001825431,-4.644263390880055,37.19245074060559,-4.6442252337403,74,2022-10-29T05:37:49.417,22.46353977444518,g,2022-11-10T03:52:04.412,20.59665829833274,g,2022-12-28T01:55:47.197,22.069532852905535,i,0372m047_3056,37.19257752846941,-4.644354419326261,23.732625395059586,23.022370003163815,22.50493503350299,nan,nan,NONE,NONE
AT2022acec,T202210020216474m042506,02:16:47.485 -04:25:06.569,34.19785545268108,-4.418491615086286,34.1978545195422,-4.418502530867022,49,2022-10-02T06:10:51.523,21.84374042167419,g,2022-10-08T04:20:59.973,21.18444069652492,g,2022-11-25T04:42:16.130,22.57018453755665,i,0342m045_4222,34.19764229786698,-4.418698788884186,22.775244284421206,22.81196614727378,nan,nan,nan,NONE,NONE
AT2022aced,A202210230219070m062823,02:19:07.011 -06:28:23.441,34.77921380924286,-6.473178131005139,34.77921380924286,-6.473178131005139,21,2022-10-23T05:52:10.380,22.83381029257567,r,2022-11-16T05:44:47.471,22.740621877430904,i,2022-12-22T02:19:39.653,23.06212177305116,r,0348m065_2907,34.77922659458456,-6.473155621869179,21.75155758857727,21.424283161759377,20.570705085992813,nan,nan,NONE,NONE
AT2022acee,A202211160219171m043002,02:19:17.152 -04:30:02.047,34.82146691067418,-4.500568666908896,34.82145768612252,-4.500547985580983,15,2022-11-16T05:28:39.827,22.58629986571501,r,2022-11-19T04:42:54.929,22.36971270454515,i,2022-11-25T04:42:16.130,22.413907450456833,i,0347m045_8262,34.82144621972052,-4.500589289220957,21.772661432623863,20.999083071947098,20.46072319149971,nan,nan,NONE,NONE
AT2022acef,T202210230226041m043954,02:26:04.103 -04:39:54.680,36.51709701700493,-4.665189102202175,36.51710665914722,-4.665225113401579,21,2022-10-23T05:57:47.992,22.394847535859657,g,2022-10-23T06:06:42.875,21.87930726902064,i,2022-11-25T05:02:06.944,23.00522380638123,i,0364m047_5347,36.51674742225154,-4.66462000221158,21.46988555788994,19.94366765022278,19.073489606380463,nan,nan,NONE,NONE
AT2022aceg,C202210230220373m042406,02:20:37.321 -04:24:06.414,35.15550504184049,-4.40178190631376,35.15548972922539,-4.401855639006676,30,2022-10-23T05:37:47.134,23.037259966080356,g,2022-11-04T02:18:08.387,22.042169960208636,r,2022-11-25T04:38:38.266,23.03256357757236,r,0352m045_2322,35.15566168757157,-4.401898257387076,21.067974269390106,20.20541876554489,19.56976592540741,nan,nan,NONE,NONE
AT2022abmq,T202211040224286m050320,02:24:28.660 -05:03:20.241,36.11941679408578,-5.055622732761742,36.11937299004961,-5.055632249257649,47,2022-11-04T02:40:01.090,22.73605217124353,r,2022-11-19T04:59:25.129,21.47521060064986,r,2022-12-28T01:53:48.929,22.78232849854021,i,0362m050_827,36.11897286346998,-5.056002336416707,23.965526670217514,22.166940979659557,22.006439678370953,nan,nan,NONE,NONE
AT2022acei,A202210230218254m042232,02:18:25.415 -04:22:32.990,34.60589985573524,-4.375830779125658,34.60585685342305,-4.375738776901896,63,2022-10-23T05:35:58.024,22.39466378515015,g,2022-12-13T02:08:02.386,21.7719336967649,r,2022-12-28T01:34:09.344,22.27165198686579,i,0346m042_1874,34.60586407598518,-4.375808748972251,19.88858312368393,19.512150287628174,19.098043143749237,0.5726199746131897,nan,spec,GAMA-DR3
