"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Reporting Group/s"	"Discovery Data Source/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag/Flux"	"Discovery Filter"	"Discovery Date (UT)"	"Sender"	"Remarks"	"Ext. catalog/s"
"53941"	"AT 2020cek"	"05:02:59.704"	"+05:32:50.83"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF20aajfzfy"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.89"	"g-ZTF"	"2020-02-01 03:28:35.000"	"ZTF_AMPEL_COMPLETE"	""	""
"53940"	"AT 2020cej"	"04:58:50.646"	"-13:24:30.58"	""	""	""	""	"ZTF"	"ZTF"	""	"ZTF"	"ZTF18acgruqz"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"17.14"	"g-ZTF"	"2020-02-06 06:11:05.000"	"ZTF_AMPEL_COMPLETE"	""	""
"53939"	"AT 2020cei"	"11:11:00.818"	"+07:42:46.15"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20ua"	"PS1 - GPC1"	""	"1"	"1"	""	"20.13"	"w-PS1"	"2020-02-03 12:57:36.000"	"PS2_Bot1"	""	""
"53938"	"AT 2020ceh"	"05:23:39.763"	"-16:38:30.56"	""	""	""	""	"Pan-STARRS1, ZTF, ATLAS"	"Pan-STARRS1, ZTF, ATLAS"	""	"ATLAS; Pan-STARRS1; ZTF"	"PS20tz"	"ATLAS1 - ACAM1, P48 - ZTF-Cam, PS1 - GPC1"	""	"1"	"1"	""	"18.99"	"i-Sloan"	"2020-02-05 06:56:09.000"	"PS2_Bot1"	""	""
"53937"	"AT 2020ceg"	"00:59:04.390"	"+46:14:48.01"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20aro"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"14.96"	"G-Gaia"	"2020-02-06 10:07:40.000"	"Gaia_Bot1"	""	""
"53935"	"AT 2020cef"	"23:10:18.690"	"-75:23:24.65"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20arn"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"16.59"	"G-Gaia"	"2020-02-06 09:48:57.000"	"Gaia_Bot1"	""	""
"53934"	"AT 2020cee"	"19:57:18.830"	"-83:36:45.65"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20arj"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.21"	"G-Gaia"	"2020-02-06 13:52:19.000"	"Gaia_Bot1"	""	""
"53933"	"AT 2020ced"	"13:15:58.070"	"-46:00:40.57"	""	""	""	""	"GaiaAlerts, ATLAS"	"GaiaAlerts, ATLAS"	""	"ATLAS; GaiaAlerts"	"Gaia20arh"	"ATLAS1 - ACAM1, Gaia - Gaia-photometric"	""	"1"	"1"	""	"17.33"	"G-Gaia"	"2020-02-07 01:12:00.000"	"Gaia_Bot1"	""	""
"53932"	"AT 2020cec"	"23:48:30.030"	"-63:06:06.23"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20arf"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.51"	"G-Gaia"	"2020-02-06 14:13:55.000"	"Gaia_Bot1"	""	""
"53931"	"AT 2020ceb"	"23:37:04.210"	"-66:10:03.11"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20are"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.96"	"G-Gaia"	"2020-02-06 20:11:02.000"	"Gaia_Bot1"	""	""
"53930"	"AT 2020cea"	"08:25:42.180"	"+81:36:34.13"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20ard"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.02"	"G-Gaia"	"2020-02-06 23:00:57.000"	"Gaia_Bot1"	""	""
"53929"	"AT 2020cdz"	"00:53:23.270"	"+20:12:15.37"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20ara"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.49"	"G-Gaia"	"2020-02-06 21:40:19.000"	"Gaia_Bot1"	""	""
"53928"	"AT 2020cdy"	"23:45:21.570"	"-66:33:34.88"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20aqz"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.93"	"G-Gaia"	"2020-02-06 09:57:36.000"	"Gaia_Bot1"	""	""
"53927"	"AT 2020cdx"	"00:54:06.700"	"+16:00:31.86"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20aqy"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.81"	"G-Gaia"	"2020-02-07 03:36:00.000"	"Gaia_Bot1"	""	""
"53926"	"AT 2020cdw"	"00:47:17.420"	"+10:01:25.64"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20aqw"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.7"	"G-Gaia"	"2020-02-06 21:28:48.000"	"Gaia_Bot1"	""	""
"53925"	"AT 2020cdv"	"00:42:52.240"	"+08:54:15.34"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20aqv"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.46"	"G-Gaia"	"2020-02-06 15:27:21.000"	"Gaia_Bot1"	""	""
"53924"	"AT 2020cdu"	"03:30:24.810"	"+78:11:50.39"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20aqu"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"17.75"	"G-Gaia"	"2020-02-07 04:46:33.000"	"Gaia_Bot1"	""	""
"53923"	"AT 2020cdt"	"00:44:56.400"	"+06:24:16.13"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20aqt"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.54"	"G-Gaia"	"2020-02-06 21:24:28.000"	"Gaia_Bot1"	""	""
"53922"	"AT 2020cds"	"09:11:39.007"	"+03:09:30.71"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20tx"	"PS1 - GPC1"	""	"1"	"1"	""	"22.02"	"w-PS1"	"2020-01-21 10:14:52.000"	"PS1_Bot1"	""	""
"53921"	"SN 2020cdr"	"04:50:24.270"	"-61:20:49.49"	"SN Ia"	"0.019"	"ESO 119-13"	""	"BOSS, GaiaAlerts"	"BOSS, GaiaAlerts"	"ePESSTO+"	"BOSS; GaiaAlerts"	""	"Gaia - Gaia-photometric, Other - Other"	"ESO-NTT - EFOSC2-NTT"	"1"	"1"	""	"17.3"	"Clear-"	"2020-02-09 11:42:04.000"	"Parker"	""	""
"53920"	"AT 2020cdq"	"13:52:46.213"	"+67:28:51.11"	""	""	"WISEA J135246.20+672851.1"	""	"ALeRCE"	"ZTF"	""	"ZTF"	"ZTF20aammhhh"	"P48 - ZTF-Cam"	""	"1"	"1"	""	"19.1444"	"r-ZTF"	"2020-02-09 11:47:55.000"	"ALeRCE"	""	""
"53919"	"SN 2020cdp"	"11:09:48.684"	"+00:48:15.62"	"SN Ia"	"0.06297"	"WISEA J110948.67+004815.8"	"0.063022"	"ALeRCE, ZTF, ATLAS"	"ZTF, ATLAS"	"ZTF"	"ATLAS; ZTF"	"ZTF20aammbrw"	"ATLAS1 - ACAM1, P48 - ZTF-Cam"	"P60 - SEDM"	"1"	"1"	""	"18.9299"	"g-ZTF"	"2020-02-09 06:34:09.000"	"ALeRCE"	""	""
"53918"	"AT 2020cdo"	"15:22:43.533"	"-19:17:01.77"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20tu"	"PS1 - GPC1"	""	"1"	"1"	""	"20.34"	"w-PS1"	"2020-01-25 15:25:55.000"	"PS1_Bot1"	""	""
"53917"	"AT 2020cdn"	"07:20:47.332"	"+36:17:56.37"	""	""	""	""	"Pan-STARRS1"	"Pan-STARRS1"	""	"Pan-STARRS1"	"PS20tt"	"PS1 - GPC1"	""	"1"	"1"	""	"21.14"	"w-PS1"	"2020-01-23 07:49:26.000"	"PS1_Bot1"	""	""
