objid,skycoord_obj,ra_obj,dec_obj,ra_obj_maxSNR,dec_obj_maxSNR,num_alert,date_first_alert,mag_first_alert,filter_first_alert,date_peak_alert,mag_peak_alert,filter_peak_alert,date_last_alert,mag_last_alert,filter_last_alert,lsdr9_id.pseudo_host,lsdr9_ra.pseudo_host,lsdr9_dec.pseudo_host,lsdr9_gmag.pseudo_host,lsdr9_rmag.pseudo_host,lsdr9_zmag.pseudo_host,z.pseudo_host,e_z.pseudo_host,z_type.pseudo_host,z_source.pseudo_host
C202210020226558m042802,02:26:55.876 -04:28:02.896,36.73281809578047,-4.467471234901718,36.73273017076984,-4.467401603514062,28,2022-10-23T05:57:47.992,23.14043473441927,g,2022-10-23T06:03:04.694,21.9362906727882,r,2022-11-25T05:04:06.800,22.68237425664406,i,0367m045_4912,36.73306089866904,-4.467574858074129,23.69356967508793,22.59874815121293,21.39338970184326,nan,nan,NONE,NONE
A202210020226054m043226,02:26:05.462 -04:32:26.801,36.52276154345986,-4.540778295907904,36.52271513675014,-4.540736928394995,29,2022-10-02T06:32:35.895,22.520440156315182,g,2022-11-10T03:57:11.178,22.181659241706363,i,2022-11-25T05:04:06.800,22.8896214921214,i,0364m045_5904,36.52274822869887,-4.540790744082387,21.4061027020216,20.987399965524673,20.312448143959045,nan,nan,NONE,NONE
C202210230220373m042406,02:20:37.316 -04:24:06.485,35.15548357655194,-4.401801653457416,35.15548972922539,-4.401855639006676,30,2022-10-23T05:37:47.134,23.037259966080356,g,2022-11-04T02:18:08.387,22.042169960208636,r,2022-11-25T04:38:38.266,23.03256357757236,r,0352m045_2322,35.15566168757157,-4.401898257387076,21.067974269390106,20.20541876554489,19.56976592540741,nan,nan,NONE,NONE
T202211040224286m050320,02:24:28.655 -05:03:20.356,36.11939631205701,-5.055654604122501,36.11937299004961,-5.055632249257649,30,2022-11-04T02:40:01.090,22.73605217124353,r,2022-11-19T04:59:25.129,21.47521060064986,r,2022-11-25T05:04:06.800,21.6449159554974,i,0362m050_827,36.11897286346998,-5.056002336416707,23.965526670217514,22.166940979659557,22.006439678370953,nan,nan,NONE,NONE
A202210230218254m042233,02:18:25.414 -04:22:33.020,34.60589181782851,-4.375839011725493,34.60595037756053,-4.375783543390917,32,2022-10-23T05:35:58.024,22.38907285453122,g,2022-11-25T04:33:24.430,21.78096050007145,g,2022-11-25T04:42:16.130,21.80198311370571,i,0346m042_1874,34.60586407598518,-4.375808748972251,19.88858312368393,19.512150287628174,19.098043143749237,0.5726199746131897,nan,spec,GAMA-DR3
C202210020220109m062222,02:20:10.957 -06:22:22.423,35.04565671905009,-6.37289534149809,35.0456702098349,-6.372887983419548,33,2022-10-02T06:21:45.641,21.762056270488905,g,2022-10-08T04:33:38.779,21.448129373322416,r,2022-11-25T04:53:06.454,22.241973005309323,i,0350m062_3239,35.045679697899,-6.372767552485882,19.80598211288452,19.371658861637115,19.048417806625366,0.1397400051355362,nan,spec,GAMA-DR3
A202210020220247m050231,02:20:24.787 -05:02:31.701,35.10328171360697,-5.042139315416379,35.10323574511564,-5.042197643910221,34,2022-10-02T06:10:51.523,22.23922322048627,g,2022-11-19T04:35:52.477,21.5813323900905,g,2022-11-25T04:38:38.266,22.497816623978323,r,0352m050_274,35.10325601385089,-5.042160494783407,19.62056279182434,19.092363119125366,18.644002377986908,0.2522900104522705,nan,spec,GAMA-DR3
A202210020219344m065121,02:19:34.436 -06:51:21.825,34.8934839648286,-6.856062502330427,34.89353715262961,-6.85605679001739,35,2022-10-02T06:23:35.247,22.90721092467718,g,2022-11-19T04:46:42.338,21.708529033093605,g,2022-11-25T04:53:06.454,22.08786885791047,i,0348m067_6753,34.89354148143128,-6.856071988555629,20.10049045085907,19.745088815689087,19.019519686698914,0.5901399850845337,nan,spec,GAMA-DR3
A202210290215267m052401,02:15:26.785 -05:24:01.212,33.86160534120176,-5.400336778285121,33.86159935595001,-5.400335148485421,35,2022-10-29T05:16:04.522,19.99328015824774,g,2022-10-29T05:17:52.890,19.951897748953275,g,2022-11-25T04:42:16.130,20.232115020603715,i,0337m055_7724,33.86155355959779,-5.40033048068659,21.64352774620056,20.72627291083336,19.982856512069702,nan,nan,NONE,NONE
C202210230223187m040413,02:23:18.777 -04:04:13.536,35.82823907506671,-4.070426749681051,35.82823362213549,-4.070426323864956,35,2022-10-23T05:57:47.992,22.07141334578486,g,2022-10-29T05:41:25.541,21.541994494487927,r,2022-11-25T05:04:06.800,22.300801341940385,i,0359m040_1114,35.82845245608296,-4.070421265326662,19.59863632917404,18.20195436477661,17.45875120162964,0.2874299883842468,nan,spec,GAMA-DR3
C202210230224028m065211,02:24:02.857 -06:52:11.069,36.01190432667507,-6.869741399187613,36.01190565332805,-6.869735018958073,36,2022-10-23T05:46:51.809,21.35005852178879,g,2022-10-29T05:33:52.414,21.120139624131745,i,2022-11-25T04:53:06.454,22.04219088091353,i,0360m067_2150,36.01210251883141,-6.869731786900454,20.112147480249405,19.539588689804077,19.26086664199829,nan,nan,NONE,NONE
A202210020216423m045907,02:16:42.304 -04:59:07.013,34.17626915957619,-4.985281570204134,34.17630819601066,-4.98528760121437,41,2022-10-02T06:10:51.523,23.094074982437974,g,2022-10-29T05:24:57.322,22.444844364474392,i,2022-11-25T04:42:16.130,22.90888380118626,i,0342m050_2881,34.17632420262064,-4.985252578162227,23.498988151550293,22.50434769957792,21.68487936258316,nan,nan,NONE,NONE
A202210060220313m055233,02:20:31.377 -05:52:33.974,35.13073837594833,-5.876104152280285,35.13072237957007,-5.876160107759295,41,2022-10-06T05:20:01.927,22.271529723402498,r,2022-11-25T04:44:14.001,21.620322165318353,g,2022-11-25T04:53:06.454,22.107249181353275,i,0350m060_9395,35.13075444534794,-5.876137591400314,20.396725088357925,20.328826308250427,19.951919317245483,nan,nan,NONE,NONE
C202210020224453m035509,02:24:45.368 -03:55:09.137,36.18903480852539,-3.919204838447465,36.18900580459172,-3.919226689663495,41,2022-10-02T06:32:35.895,22.40087336658373,g,2022-11-10T03:50:15.842,21.02763289655841,g,2022-11-25T05:04:06.800,22.45990264232754,i,0361m040_5065,36.18893489544626,-3.919313275925011,19.123632311820984,19.0098437666893,18.909752666950226,0.6063500046730042,nan,spec,GAMA-DR3
C202210290228461m043839,02:28:46.191 -04:38:39.224,37.19246590549158,-4.644228909654425,37.19245074060559,-4.6442252337403,42,2022-10-29T05:37:49.417,22.46353977444518,g,2022-11-10T03:52:04.412,20.59665829833274,g,2022-11-25T05:04:06.800,21.178346044140845,i,0372m047_3056,37.19257752846941,-4.644354419326261,23.732625395059586,23.022370003163815,22.50493503350299,nan,nan,NONE,NONE
T202210020216474m042506,02:16:47.486 -04:25:06.597,34.19785956964274,-4.418499180483849,34.1978545195422,-4.418502530867022,49,2022-10-02T06:10:51.523,21.84374042167419,g,2022-10-08T04:20:59.973,21.18444069652492,g,2022-11-25T04:42:16.130,22.57018453755665,i,0342m045_4222,34.19764229786698,-4.418698788884186,22.775244284421206,22.81196614727378,nan,nan,nan,NONE,NONE
A202210020226077m041842,02:26:07.767 -04:18:42.914,36.53236632756182,-4.311920790574336,36.53240160132398,-4.311966129578466,56,2022-10-02T06:32:35.895,21.823072082451123,g,2022-11-25T04:56:55.451,21.04860807369235,g,2022-11-25T05:04:06.800,21.558144775380022,i,0364m042_8575,36.5323829887854,-4.311996178526408,19.594277441501617,19.627609252929688,19.112263023853302,nan,nan,NONE,NONE
