"ID"	"Name"	"RA"	"DEC"	"Obj. Type"	"Redshift"	"Host Name"	"Host Redshift"	"Reporting Group/s"	"Discovery Data Source/s"	"Classifying Group/s"	"Associated Group/s"	"Disc. Internal Name"	"Disc. Instrument/s"	"Class. Instrument/s"	"TNS AT"	"Public"	"End Prop. Period"	"Discovery Mag/Flux"	"Discovery Filter"	"Discovery Date (UT)"	"Sender"	"Remarks"	"Ext. catalog/s"
"54370"	"AT 2020cus"	"02:20:36.610"	"-18:47:13.42"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avt"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"17.75"	"G-Gaia"	"2020-02-16 15:20:09.000"	"Gaia_Bot1"	""	""
"54369"	"AT 2020cur"	"14:13:28.670"	"+22:14:05.75"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avs"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"17.7"	"G-Gaia"	"2020-02-16 18:24:28.000"	"Gaia_Bot1"	""	""
"54368"	"AT 2020cuq"	"08:51:55.510"	"+59:23:30.05"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avr"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"19.01"	"G-Gaia"	"2020-02-16 11:19:40.000"	"Gaia_Bot1"	""	""
"54367"	"AT 2020cup"	"02:35:34.620"	"-13:32:56.08"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avq"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.16"	"G-Gaia"	"2020-02-16 15:27:21.000"	"Gaia_Bot1"	""	""
"54366"	"AT 2020cuo"	"22:11:48.950"	"-58:14:31.27"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avp"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.19"	"G-Gaia"	"2020-02-16 10:04:48.000"	"Gaia_Bot1"	""	""
"54365"	"AT 2020cun"	"02:39:57.320"	"-11:04:01.63"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avo"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"18.24"	"G-Gaia"	"2020-02-16 15:30:14.000"	"Gaia_Bot1"	""	""
"54364"	"AT 2020cum"	"19:09:15.420"	"-60:53:25.48"	""	""	""	""	"GaiaAlerts"	"GaiaAlerts"	""	"GaiaAlerts"	"Gaia20avn"	"Gaia - Gaia-photometric"	""	"1"	"1"	""	"20.52"	"G-Gaia"	"2020-02-14 13:55:12.000"	"Gaia_Bot1"	""	""
"54363"	"AT 2020cul"	"16:45:01.580"	"-47:33:14.29"	"Other"	""	""	""	"GaiaAlerts"	"GaiaAlerts"	"None"	"GaiaAlerts"	"Gaia20avm"	"Gaia - Gaia-photometric"	"Gemini-S - GMOS-S"	"1"	"1"	""	"12.19"	"G-Gaia"	"2020-02-14 09:18:43.000"	"Gaia_Bot1"	""	""
"54362"	"AT 2020cuk"	"12:49:06.614"	"+43:14:04.76"	""	""	""	""	"ATLAS"	"ATLAS"	""	"ATLAS"	"ATLAS20dzh"	"ATLAS1 - ACAM1"	""	"1"	"1"	""	"19.333"	"orange-ATLAS"	"2020-02-03 13:59:31.000"	"ATLAS_Bot1"	""	""
"54361"	"SN 2020cuj"	"04:34:00.530"	"-08:34:43.46"	"SN II"	"0.0158"	""	""	"ZTF, GaiaAlerts"	"ZTF, GaiaAlerts"	"ZTF"	"GaiaAlerts; ZTF"	"ZTF20aaoffej"	"Gaia - Gaia-photometric, P48 - ZTF-Cam"	"P60 - SEDM"	"1"	"1"	""	"20.0843"	"r-ZTF"	"2020-02-12 03:06:02.000"	"ZTF_CLU_PUBLIC"	""	""
