# Geodesic pattern 30 class 2 npts 27002 area_per_point= 1.528
# From geodesic_tiling_pattern_npts27002.txt
# As generated using instruction from http://www.mpe.mpg.de/~4most/4FS/geodesic_pattern_list.html
# Further instructions on generation are available at: https://github.com/SSantosLab/desgw-map/wiki/DECam-Tiling-for-HSC
# RA            DEC
173.061000 -29.568800
175.340000 -30.325700
177.653000 -31.042500
-56.572000   1.242690
-54.859000   2.484260
-53.143000   3.723620
-51.423000   4.959640
-49.696000   6.191190
-47.961000   7.417130
-46.216000   8.636320
-44.460000   9.847560
-42.691000  11.049700
-40.907000  12.241400
-39.108000  13.421600
-37.291000  14.588800
-35.454000  15.741900
-33.597000  16.879400
-31.717000  18.000000
-29.814000  19.102200
-27.885000  20.184700
-25.930000  21.245800
-23.946000  22.284000
-21.934000  23.297800
-19.890000  24.285600
-17.815000  25.245500
-15.708000  26.176100
-13.567000  27.075400
-11.392000  27.941900
 -9.183000  28.773600
 -6.939000  29.568800
 -4.660000  30.325700
 -2.347000  31.042500
-56.572000  -1.242690
-54.859000  -2.484260
-53.143000  -3.723620
-51.423000  -4.959640
-49.696000  -6.191190
-47.961000  -7.417130
-46.216000  -8.636320
-44.460000  -9.847560
-42.691000 -11.049700
-40.907000 -12.241400
-39.108000 -13.421600
-37.291000 -14.588800
-35.454000 -15.741900
-33.597000 -16.879400
-31.717000 -18.000000
-29.814000 -19.102200
-27.885000 -20.184700
-25.930000 -21.245800
-23.946000 -22.284000
-21.934000 -23.297800
-19.890000 -24.285600
-17.815000 -25.245500
-15.708000 -26.176100
-13.567000 -27.075400
-11.392000 -27.941900
 -9.183000 -28.773600
 -6.939000 -29.568800
 -4.660000 -30.325700
 -2.347000 -31.042500
 56.571600   1.242690
 54.859000   2.484260
 53.143300   3.723620
 51.422700   4.959640
 49.695700   6.191190
 47.960600   7.417130
 46.215800   8.636320
 44.459800   9.847560
 42.690800  11.049700
 40.907400  12.241400
 39.107900  13.421600
 37.290700  14.588800
 35.454300  15.741900
 33.597100  16.879400
 31.717500  18.000000
 29.814000  19.102200
 27.885300  20.184700
 25.929900  21.245800
 23.946400  22.284000
 21.933600  23.297800
 19.890200  24.285600
 17.815300  25.245500
 15.707900  26.176100
 13.567100  27.075400
 11.392300  27.941900
  9.183120  28.773600
  6.939180  29.568800
  4.660500  30.325700
  2.347280  31.042500
 56.571600  -1.242690
 54.859000  -2.484260
 53.143300  -3.723620
 51.422700  -4.959640
 49.695700  -6.191190
 47.960600  -7.417130
 46.215800  -8.636320
 44.459800  -9.847560
 42.690800 -11.049700
