# Geodesic pattern 24 class 2 npts 17282 area_per_point= 2.3870
# From geodesic_tiling_pattern_npts17282.txt
# http://www.mpe.mpg.de/~4most/4FS/geodesic_pattern_list.html
# As adopted by BLISS and DeCALS
# RA            DEC
  5.804177 -29.952171
  2.928801 -30.867190
180.000000  29.074351
180.000000  26.431229
180.000000  23.788106
180.000000  21.144983
180.000000  18.501860
180.000000  15.858737
180.000000  13.215614
180.000000  10.572491
180.000000   7.929369
180.000000   5.286246
180.000000   2.643123
180.000000   0.000000
180.000000  -2.643123
180.000000  -5.286246
180.000000  -7.929369
180.000000 -10.572491
180.000000 -13.215614
180.000000 -15.858737
180.000000 -18.501860
180.000000 -21.144983
180.000000 -23.788106
180.000000 -26.431229
180.000000 -29.074351
  0.000000  29.074351
  0.000000  26.431229
  0.000000  23.788106
  0.000000  21.144983
  0.000000  18.501860
  0.000000  15.858737
  0.000000  13.215614
  0.000000  10.572491
  0.000000   7.929369
  0.000000   5.286246
  0.000000   2.643123
  0.000000   0.000000
  0.000000  -2.643123
  0.000000  -5.286246
  0.000000  -7.929369
  0.000000 -10.572491
  0.000000 -13.215614
  0.000000 -15.858737
  0.000000 -18.501860
  0.000000 -21.144983
  0.000000 -23.788106
  0.000000 -26.431229
  0.000000 -29.074351
-88.347133 -59.429187
-86.567333 -60.560919
-88.187796 -62.082663
-83.243991 -60.097893
-84.646249 -61.674851
-86.220547 -63.222438
-87.994404 -64.736478
-81.232126 -61.166685
-82.568024 -62.767542
-84.079216 -64.341276
-85.796146 -65.883906
-87.755241 -67.390519
-77.961628 -60.564367
-79.064048 -62.210445
-80.315310 -63.834887
-81.742635 -65.434718
-83.379234 -67.006242
-85.265801 -68.544827
-87.452304 -70.044613
-75.724471 -61.558268
-76.724511 -63.224769
-77.869389 -64.872028
-79.187585 -66.497416
-80.714584 -68.097626
-82.494961 -69.668442
-84.585077 -71.204429
-87.056490 -72.698491
-72.559552 -60.818580
-73.321640 -62.519057
-74.197627 -64.204536
-75.210481 -65.873255
-76.389098 -67.523004
-77.770263 -69.150967
-79.401378 -70.753500
-81.344242 -72.325807
-83.680274 -73.861464
-86.517578 -75.351709
-70.115013 -61.726209
-70.740181 -63.441484
-71.467319 -65.143842
-72.318295 -66.831909
-73.321119 -68.503952
-74.512223 -70.157743
-75.939781 -71.790356
-77.668600 -73.397864
-79.787423 -74.974870
-82.419904 -76.513756
-85.740948 -78.003468
-67.107316 -60.854706
-67.502474 -62.592255
-67.967659 -64.319601
-68.518018 -66.035943
-69.172941 -67.740306
-69.957692 -69.431461
-70.905821 -71.107823
-72.062827 -72.767296
-73.491862 -74.407023
-75.282871 -76.022984
-77.567625 -77.609315
-80.545104 -79.157098
-84.524907 -80.652126
-64.483835 -61.666066
-64.712845 -63.410858
-64.992893 -65.146751
-65.335666 -66.873232
-65.756311 -68.589689
-66.274869 -70.295371
-66.918464 -71.989326
-67.724760 -73.670301
-68.747610 -75.336593
-70.066685 -76.985778
-71.804660 -78.614239
-74.159590 -80.216241
-77.469686 -81.782032
-82.350936 -83.293542
-61.678929 -60.671733
-61.697869 -62.427528
-61.738778 -64.175575
-61.806933 -65.915585
-61.909075 -67.647254
-62.054008 -69.370245
-62.253509 -71.084178
-62.523759 -72.788601
-62.887672 -74.482957
-63.378860 -76.166536
-64.048747 -77.838372
-64.980143 -79.497071
-66.315313 -81.140437
-68.320120 -82.764619
-71.551245 -84.361835
-77.376438 -85.913058
-58.913194 -61.378909
-58.745252 -63.132958
-58.575532 -64.879439
-58.404263 -66.618125
-58.231646 -68.348793
-58.057858 -70.071218
-57.883050 -71.785170
-57.707346 -73.490407
-57.530851 -75.186674
-57.353644 -76.873702
-57.175788 -78.551202
-56.997325 -80.218870
-56.818281 -81.876390
-56.638668 -83.523430
-56.458485 -85.159652
-56.277721 -86.784713
-56.096353 -88.398274
-56.346344 -60.273567
-55.997833 -62.028577
-55.624544 -63.775839
-55.221971 -65.515047
-54.784205 -67.245894
-54.303388 -68.968048
-53.768898 -70.681148
-53.166073 -72.384770
-52.474159 -74.078406
-51.662849 -75.761407
-50.686176 -77.432909
-49.471042 -79.091674
-47.894034 -80.735789
-45.729921 -82.361970
-42.522392 -83.963816
-37.202046 -85.526468
-26.687843 -87.005710
  0.000000 -88.214710
 56.096353 -88.398274
-53.479768 -60.871185
-52.933886 -62.614707
-52.337816 -64.349388
-51.681633 -66.074718
-50.952408 -67.790123
-50.133045 -69.494923
-49.200506 -71.188284
-48.123076 -72.869136
-46.855966 -74.536052
-45.333988 -76.187041
-43.458821 -77.819195
-41.075703 -79.428029
-37.928348 -81.006166
-33.566278 -82.540512
-27.144291 -84.005616
-16.993231 -85.346704
  0.000000 -86.436247
 26.687843 -87.005710
 56.277721 -86.784713
 77.376438 -85.913058
-51.173375 -59.668606
-50.482199 -61.404841
-49.725647 -63.131131
-48.891410 -64.846711
-47.963741 -66.550701
-46.922228 -68.242046
-45.740006 -69.919431
-44.381087 -71.581170
-42.796306 -73.225022
-40.916961 -74.847912
-38.644611 -76.445467
-35.834223 -78.011235
-32.265761 -79.535280
-27.596004 -81.001585
-21.280177 -82.383088
-12.468899 -83.632231
  0.000000 -84.664993
 16.993231 -85.346704
 37.202046 -85.526468
 56.458485 -85.159652
 71.551245 -84.361835
 82.350936 -83.293542
-48.248151 -60.153980
-47.359384 -61.868959
-46.381185 -63.571699
-45.296587 -65.261007
-44.084023 -66.935454
-42.715736 -68.593273
-41.155525 -70.232226
-39.355471 -71.849391
-37.251139 -73.440860
-34.754452 -75.001263
-31.743076 -76.523027
-28.044779 -77.995170
-23.415490 -79.401333
-17.512956 -80.716591
 -9.881077 -81.902566
  0.000000 -82.901285
 12.468899 -83.632231
 27.144291 -84.005616
 42.522391 -83.963816
 56.638668 -83.523430
 68.320120 -82.764619
 77.469686 -81.782032
 84.524907 -80.652126
-46.211268 -58.868895
-45.214141 -60.570383
-44.120329 -62.258069
-42.912713 -63.930467
-41.569939 -65.585815
-40.065115 -67.221964
-38.364037 -68.836230
-36.422747 -70.425190
-34.184183 -71.984384
-31.573580 -73.507885
-28.492282 -74.987669
-24.809839 -76.412678
-20.355066 -77.767447
-14.909360 -79.030157
 -8.212004 -80.170136
  0.000000 -81.145425
  9.881077 -81.902566
 21.280178 -82.383088
 33.566278 -82.540512
 45.729921 -82.361970
 56.818281 -81.876390
 66.315313 -81.140437
 74.159590 -80.216241
 80.545104 -79.157098
 85.740948 -78.003468
-43.266849 -59.241880
-42.080738 -60.912954
-40.777478 -62.566976
-39.336739 -64.201904
-37.733432 -65.815283
-35.936389 -67.404104
-33.906632 -68.964609
-31.595149 -70.492024
-28.940083 -71.980199
-25.863360 -73.421096
-22.267031 -74.804104
-18.030316 -76.115111
-13.009804 -77.335340
 -7.048074 -78.440069
  0.000000 -79.397681
  8.212004 -80.170136
 17.512956 -80.716591
 27.596004 -81.001585
 37.928348 -81.006166
 47.894034 -80.735789
 56.997325 -80.218870
 64.980143 -79.497071
 71.804660 -78.614239
 77.567625 -77.609315
 82.419905 -76.513756
 86.517578 -75.351709
-41.496528 -57.889034
-40.237143 -59.542423
-38.860162 -61.177149
-37.346703 -62.790942
-35.673907 -64.381118
-33.813988 -65.944446
-31.733051 -67.476971
-29.389682 -68.973788
-26.733320 -70.428744
-23.702550 -71.834049
-20.223676 -73.179776
-16.210362 -74.453254
-11.565908 -75.638370
 -6.190880 -76.714924
  0.000000 -77.658305
  7.048074 -78.440069
 14.909361 -79.030157
 23.415490 -79.401333
 32.265761 -79.535280
 41.075703 -79.428029
 49.471042 -79.091674
 57.175788 -78.551202
 64.048747 -77.838372
 70.066685 -76.985778
 75.282871 -76.022984
 79.787423 -74.974870
 83.680274 -73.861464
 87.056490 -72.698491
-38.567124 -58.151651
-37.133880 -59.766542
-35.567357 -61.358894
-33.847040 -62.925860
-31.948487 -64.464070
-29.842551 -65.969478
-27.494528 -67.437175
-24.863276 -68.861146
-21.900465 -70.233982
-18.550266 -71.546524
-14.750025 -72.787461
-10.432881 -73.942926
 -5.533694 -74.996172
  0.000000 -75.927529
  6.190880 -76.714924
 13.009804 -77.335340
 20.355066 -77.767447
 28.044779 -77.995170
 35.834223 -78.011235
 43.458821 -77.819195
 50.686176 -77.432909
 57.353644 -76.873702
 63.378860 -76.166536
 68.747610 -75.336593
 73.491862 -74.407023
 77.668600 -73.397864
 81.344241 -72.325807
 84.585077 -71.204429
 87.452304 -70.044613
-37.050950 -56.745057
-35.575290 -58.339839
-33.970947 -59.910714
-32.219684 -61.454724
-30.300173 -62.968427
-28.187501 -64.447762
-25.852690 -65.887896
-23.262271 -67.283038
-20.378068 -68.626219
-17.157411 -69.909041
-13.554149 -71.121420
 -9.521023 -72.251351
 -5.014095 -73.284761
  0.000000 -74.205576
  5.533694 -74.996172
 11.565908 -75.638370
 18.030316 -76.115111
 24.809839 -76.412678
 31.743077 -76.523027
 38.644611 -76.445467
 45.333988 -76.187041
 51.662849 -75.761407
 57.530851 -75.186674
 62.887672 -74.482957
 67.724760 -73.670301
 72.062826 -72.767296
 75.939781 -71.790356
 79.401378 -70.753500
 82.494961 -69.668442
 85.265801 -68.544827
 87.755241 -67.390519
-34.164223 -56.901010
-32.533839 -58.450541
-30.764087 -59.972001
-28.836438 -61.461922
-26.729660 -62.916280
-24.419567 -64.330374
-21.878875 -65.698675
-19.077266 -67.014668
-15.981819 -68.270674
-12.558063 -69.457688
 -8.771957 -70.565241
 -4.593172 -71.581358
  0.000000 -72.492666
  5.014095 -73.284761
 10.432881 -73.942926
 16.210362 -74.453254
 22.267031 -74.804104
 28.492282 -74.987669
 34.754452 -75.001263
 40.916961 -74.847912
 46.855966 -74.536052
 52.474159 -74.078406
 57.707346 -73.490407
 62.523759 -72.788601
 66.918464 -71.989326
 70.905821 -71.107823
 74.512223 -70.157743
 77.770263 -69.150967
 80.714584 -68.097626
 83.379234 -67.006242
 85.796146 -65.883906
 87.994404 -64.736478
-32.883283 -55.453435
-31.235930 -56.981857
-29.457007 -58.481248
-27.530453 -59.948149
-25.438184 -61.378610
-23.159988 -62.768088
-20.673548 -64.111335
-17.954633 -65.402277
-14.977613 -66.633893
-11.716414 -67.798113
 -8.146123 -68.885744
 -4.245425 -69.886479
  0.000000 -70.789015
  4.593172 -71.581358
  9.521023 -72.251351
 14.750025 -72.787461
 20.223676 -73.179776
 25.863360 -73.421096
 31.573580 -73.507885
 37.251139 -73.440860
 42.796306 -73.225022
 48.123076 -72.869136
 53.166073 -72.384770
 57.883049 -71.785170
 62.253509 -71.084178
 66.274869 -70.295371
 69.957692 -69.431461
 73.321119 -68.503952
 76.389098 -67.523004
 79.187585 -66.497416
 81.742635 -65.434718
 84.079216 -64.341276
 86.220547 -63.222438
 88.187796 -62.082663
-30.060108 -55.507605
-28.278941 -56.985439
-26.360061 -58.430076
-24.288051 -59.837661
-22.045984 -61.203825
-19.615522 -62.523599
-16.977182 -63.791326
-14.110830 -65.000577
-10.996524 -66.144090
 -7.615791 -67.213734
 -3.953445 -68.200545
  0.000000 -69.094843
  4.245425 -69.886479
  8.771957 -70.565241
 13.554149 -71.121420
 18.550266 -71.546524
 23.702550 -71.834049
 28.940083 -71.980199
 34.184183 -71.984384
 39.355471 -71.849391
 44.381087 -71.581170
 49.200506 -71.188284
 53.768898 -70.681148
 58.057858 -70.071218
 62.054008 -69.370245
 65.756311 -68.589689
 69.172941 -67.740306
 72.318295 -66.831909
 75.210481 -65.873255
 77.869389 -64.872028
 80.315310 -63.834887
 82.568024 -62.767542
 84.646249 -61.674851
 86.567333 -60.560919
 88.347133 -59.429187
-28.991782 -54.030290
-27.213476 -55.487077
-25.306883 -56.910171
-23.258836 -58.295824
-21.055113 -59.639843
-18.680581 -60.937532
-16.119469 -62.183616
-13.355839 -63.372197
-10.374285 -64.496706
 -7.160961 -65.549904
 -3.704950 -66.523922
  0.000000 -67.410369
  3.953445 -68.200545
  8.146123 -68.885744
 12.558063 -69.457688
 17.157411 -69.909041
 21.900465 -70.233982
 26.733320 -70.428744
 31.595149 -70.492024
 36.422747 -70.425190
 41.155525 -70.232226
 45.740006 -69.919431
 50.133045 -69.494923
 54.303388 -68.968048
 58.231646 -68.348793
 61.909075 -67.647254
 65.335666 -66.873232
 68.518018 -66.035943
 71.467319 -65.143842
 74.197627 -64.204536
 76.724511 -63.224769
 79.064048 -62.210445
 81.232126 -61.166685
 83.243991 -60.097893
-26.246747 -53.988284
