 # Fibonacci Sphere distribution of circles on sphere
 # Assuming 5300 across sky, => 7.9 sq-degrees/desi tile
 # RA            DEC
 -65.13591   16.06250
-119.12122    3.95704
 -70.30628  -22.29355
 -88.26532   29.40699
-111.99655  -20.16407
 -60.47275    0.95701
-113.33452   18.72204
 -86.05928  -29.38932
 -71.67788   23.75616
-119.17688   -5.90209
 -63.77708  -14.60025
 -99.50040   28.38141
-103.87779  -26.69145
 -61.94538   10.76079
-118.34163   10.05896
 -75.31648  -26.43089
 -81.23646   28.82733
-116.13664  -15.40989
 -60.30821   -5.22389
-109.28804   23.63186
 -93.15858  -30.04246
 -66.60222   19.71688
-120.27780    0.21516
 -66.81466  -20.10758
 -92.68353   30.25660
-109.82556  -23.53857
 -59.90254    4.85030
-116.31183   15.99351
 -81.53177  -29.44655
 -74.55817   26.72360
-119.13740   -9.85496
 -61.35168  -11.42530
-103.91183   27.65055
-100.32912  -29.12130
 -62.62674   14.67614
-120.19814    6.53278
 -71.21195  -24.95910
 -85.34747   30.59789
-114.77551  -19.18189
 -59.03037   -1.43897
-112.94955   21.49681
 -88.66179  -31.05764
 -68.67777   23.22855
-120.96471   -3.73776
 -63.67773  -17.40344
 -97.33788   30.46207
-107.02035  -26.66186
 -59.82707    8.87965
-118.88398   12.81972
 -76.95983  -28.83811
 -78.06625   29.32424
-118.57050  -13.86470
 -59.36024   -7.88006
-108.19246   26.27101
 -96.21021  -31.07018
 -63.87524   18.56192
-121.60210    2.71070
 -67.37423  -22.88582
 -89.90875   31.78821
-112.80557  -22.82794
 -58.22245    2.56822
-116.25315   18.82634
 -83.88919  -31.42325
 -71.39437   26.50667
-121.15935   -7.83855
 -60.95218  -14.23867
-102.06807   29.98887
-103.56943  -29.43495
 -60.27466   12.97902
-121.01608    9.26216
 -72.50016  -27.56321
 -82.17534   31.45649
-117.44103  -17.85991
 -57.82538   -4.02676
-112.21241   24.27060
 -91.60019  -32.44423
 -65.73054   22.33880
-122.53505   -1.34530
 -63.89687  -20.25854
 -94.78899   32.32533
-110.19011  -26.25885
 -57.90490    6.73527
-119.13888   15.67865
 -79.00472  -31.09802
 -74.77203   29.45262
-120.83521  -12.02255
 -58.67358  -10.67567
-106.70868   28.83121
 -99.48843  -31.75433
 -61.27965   17.07892
-122.68658    5.38370
 -68.29237  -25.64711
 -86.81679   33.02178
-115.70826  -21.76346
 -56.76355    0.07250
-115.87060   21.69635
 -86.62502  -33.16358
 -68.23345   25.91956
-122.97888   -5.57332
 -60.84402  -17.13622
 -99.82184   32.16064
-106.90115  -29.37688
 -58.10209   10.99872
-121.56998   12.11725
 -74.18250  -30.07039
 -78.80646   31.96158
-119.95924  -16.22210
 -56.86261   -6.77820
-111.10943   27.01120
 -94.83418  -33.51716
 -62.88317   21.10446
-123.88107    1.24680
 -64.44628  -23.13608
 -91.87208   33.93329
-113.32808  -25.49032
 -56.19036    4.35614
-119.09773   18.60797
 -81.45177  -33.17173
 -71.41922   29.20779
-122.91163   -9.91095
 -58.25420  -13.58363
-104.82486   31.27599
-102.93165  -32.07653
 -58.84530   15.29264
-123.52636    8.20701
 -69.58436  -28.35859
 -83.45381   33.92700
-118.49061  -20.36452
 -55.53173   -2.60931
-115.15040   24.57394
 -89.71561  -34.62986
 -65.13169   24.97297
-124.58650   -3.08706
 -61.03751  -20.09049
 -97.17546   34.12620
-110.25887  -28.94583
 -56.12512    8.76257
-121.85278   15.07162
 -76.27048  -32.44308
 -75.30587   32.09797
-122.30421  -14.29379
 -56.14722   -9.66701
-109.62397   29.68489
 -98.31165  -34.24826
 -60.17443   19.54652
-124.99749    4.01187
 -65.34169  -26.00609
 -88.61685   35.24886
-116.38135  -24.36965
 -54.69126    1.76933
-118.74839   21.58037
 -84.29479  -35.01894
 -68.07227   28.59194
-124.78647   -7.55689
 -58.11041  -16.57805
-102.53052   33.56661
-106.47223  -32.02514
 -56.59435   13.22880
-124.11579   11.15513
 -71.26790  -30.98552
 -79.87770   34.47832
-121.11822  -18.65345
 -54.53186   -5.45141
-114.07490   27.42857
 -93.12463  -35.78607
 -62.13809   23.68276
-125.97576   -0.40610
 -61.54670  -23.07414
 -94.13996   35.84485
-113.58007  -28.14745
 -54.35457    6.29713
-121.85474   18.09978
 -78.77270  -34.64138
 -71.74282   31.85780
-124.45732  -12.10090
 -55.68557  -12.66838
-107.73773   32.25576
-101.96936  -34.61505
 -57.63440   17.68840
-125.87959    6.92495
 -66.60258  -28.83729
 -85.06674   36.23757
-119.30526  -22.91494
